output_id,module_run_id,tenant_id,work_order_id,step_id,module_id,path,uri,content_type,sha256,bytes,bytes_size,created_at,metadata_json
derived_queries,,nxlkGI,UbjkpxZO,a1,9SD,derived_queries.txt,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/a1/x6AqFjKBDJ/derived_queries.txt,text/plain,fb1bcc3ac3e987e3b9213536c390e77d9e29abac2522c8c34f118fd41d81e76b,139,139,2026-01-13T03:21:21Z,{}
report,,nxlkGI,UbjkpxZO,a1,9SD,report.json,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/a1/x6AqFjKBDJ/report.json,application/json,a81d44602907d1b51938d0c846df2b7c3a5c4dbb72de7f725fea72d01e97d16c,324,324,2026-01-13T03:21:21Z,{}
results,,nxlkGI,UbjkpxZO,b2,wxi,results.jsonl,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/b2/eJrr5k5dB1/results.jsonl,application/x-jsonlines,13a1b1b8fe4d2eaf9e4d27fc026446f7ab1d0dce78fe5cae10a3226a4abde545,5718,5718,2026-01-13T03:21:21Z,{}
report,,nxlkGI,UbjkpxZO,b2,wxi,report.json,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/b2/eJrr5k5dB1/report.json,application/json,4baa0c6d8e15122fecdf000265c9cd365e5ee983fba894b6c7c891462bc41277,1294,1294,2026-01-13T03:21:21Z,{}
thumbnails_dir,,nxlkGI,UbjkpxZO,b2,wxi,thumbnails,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/b2/eJrr5k5dB1/thumbnails,application/octet-stream,,0,0,2026-01-13T03:21:21Z,{}
thumbnails_index,,nxlkGI,UbjkpxZO,b2,wxi,thumbnails/index.jsonl,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/b2/eJrr5k5dB1/thumbnails/index.jsonl,application/x-jsonlines,b51cc1f519d86191c0a130055c0c1235e1b7537164c451937248bda5419303b4,1290,1290,2026-01-13T03:21:21Z,{}
source_text,,nxlkGI,UbjkpxZO,c3,U2T,source_text.txt,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/c3/LcaTEQuX1u/source_text.txt,text/plain,e678f1ee6bfae277013a697e60d5fc00d3a2a5765516e95b4263f5753e6f06ad,126,126,2026-01-13T03:21:21Z,{}
report,,nxlkGI,UbjkpxZO,c3,U2T,report.json,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/c3/LcaTEQuX1u/report.json,application/json,7516db1730fbacdbda36448d22a46df618a03c68861a34c757cb8512ed9e0756,135,135,2026-01-13T03:21:21Z,{}
package_zip,,nxlkGI,UbjkpxZO,p4,package_std,package.zip,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/p4/WlQlr0mJEx/package.zip,application/zip,6641b2a83f83a8e65e4735f980b45a509d20edc878339fd4c5e37c924650a842,1383,1383,2026-01-13T03:21:21Z,{}
manifest_json,,nxlkGI,UbjkpxZO,p4,package_std,manifest.json,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/p4/WlQlr0mJEx/manifest.json,application/json,486bc9bb0c167d7254daabf486037c6129263be0b0f424412cb72a0b61e3c6c6,974,974,2026-01-13T03:21:21Z,{}
manifest_csv,,nxlkGI,UbjkpxZO,p4,package_std,manifest.csv,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/p4/WlQlr0mJEx/manifest.csv,text/csv,cb10b8014a35658a975019b2bfbcea2c45b628d6ce1a818d27e54f257f7bd751,578,578,2026-01-13T03:21:21Z,{}
delivery_receipt_json,,nxlkGI,UbjkpxZO,d5,deliver_dropbox,delivery_receipt.json,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/d5/PlnpTeDrxk/delivery_receipt.json,application/json,e30cbc8ec01983e4336743d8a4f262d6baa38f1d227a887f8a915fb2c2691118,934,934,2026-01-13T03:21:21Z,{}
derived_queries,,nxlkGI,UbjkpxZO,a1,9SD,derived_queries.txt,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/a1/x6AqFjKBDJ/derived_queries.txt,text/plain,fb1bcc3ac3e987e3b9213536c390e77d9e29abac2522c8c34f118fd41d81e76b,139,139,2026-01-13T03:21:24Z,{}
report,,nxlkGI,UbjkpxZO,a1,9SD,report.json,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/a1/x6AqFjKBDJ/report.json,application/json,a81d44602907d1b51938d0c846df2b7c3a5c4dbb72de7f725fea72d01e97d16c,324,324,2026-01-13T03:21:24Z,{}
results,,nxlkGI,UbjkpxZO,b2,wxi,results.jsonl,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/b2/eJrr5k5dB1/results.jsonl,application/x-jsonlines,13a1b1b8fe4d2eaf9e4d27fc026446f7ab1d0dce78fe5cae10a3226a4abde545,5718,5718,2026-01-13T03:21:24Z,{}
report,,nxlkGI,UbjkpxZO,b2,wxi,report.json,file:///mnt/data/platform_repo/runtime-e2e/runs/nxlkGI/UbjkpxZO/b2/eJrr5k5dB1/report.json,application/json,4baa0c6d8e15122fecdf000265c9cd365e5ee983fba894b6c7c891462bc41277,1294,1294,2026-01-13T03:21:24Z,{}
