reason_code,refundable,notes
12GMA6JU,true,
14fAP4xU,true,
1AlZFSfg,true,
3Qf2UsfH,true,
3Uzl5PpT,true,
4lSTnsAP,true,
4tf5VYHR,true,System module failure is refundable.
5akf0krM,true,
74CGVRFH,true,
CBkm3RR2,true,
CLCx3f2T,true,
DcmMYx9B,false,
EbvJOU6a,true,
EvgSyiqM,true,
GWDXTsXu,true,
I7D9Levi,true,
JAljEU2W,true,
JiSwSse5,true,Email delivery not possible due to size is refundable.
K9WdX1De,true,
MmdlT5sO,true,
PQNWIRb5,true,
T664R1O3,true,
TlfOYxvR,true,
UCm5FHjJ,true,
UK07VML6,true,
VejqHFQA,true,
VvbjTOfr,true,
XytL5pcz,false,
YRXZV5BI,true,
YvKKQuZM,true,
cJzX2G2O,true,
d5CAmDUS,true,Delivery failure is refundable after verify confirms non-delivery.
ioA4l1DH,true,
jPnQKXd7,true,
kiaacdi9,true,
l41c9h4n,true,
nw98r9W4,false,
tMtj6jby,false,
woegbftA,false,
yzd6l3Ns,false,
Zs3Cr3t1,true,Preflight secret validation failures are refundable if any step charges were posted.
